input,intent,response
நான் சோர்வாக இருக்கிறேன்,sadness,"ஓய்வெடுக்கவும் மற்றும் சிரிக்கவும்."
நான் அழுகிறேன்,sadness,"நீங்கள் ஒருபோதும் தனிமையில் இல்லை. 🤗"
என் மனம் கவலையுடன் உள்ளது,stress,"ஆழ்ந்த மூச்சு எடுக்கவும், சற்று ஓய்வெடுக்கவும்."
நான் வேலை செய்ய முடியவில்லை,stress,"சற்று நேரம் அமைதியான இடத்தில் இருங்கள். 🌸"
நான் பயப்படுகிறேன்,fear,பதற்றத்தை நீக்க குளிர்ச்சியான மூச்சு எடுக்கவும்.
நான் எதிர்கொள்ள முடியாது,hopelessness,"நீங்கள் திறமைமிக்கவர், முயற்சி செய்யுங்கள்! 🌟"
எனக்கு யாருடன் பேச வேண்டும்,help,"நீங்கள் என்னுடன் பேசலாம். 💛"
உங்களுக்கு உதவி தேவை,help,"நான் உதவ தயார்!"
வாழ்த்துகள்!,motivation,"நீங்கள் மிகவும் சிறந்தவராய் இருக்கிறீர்கள்! 💪"
இன்று ஒரு நல்ல நாள்,motivation,"சிறந்த நாள்! 😊"
Naan romba happy ah iruken,happy,"சந்தோஷம் நீண்ட நாட்கள் நிலைக்கட்டும் 😄"
Enaku romba nalla feel aagudhu,happy,"அது அருமை! அந்த உணர்வை பாதுகாத்துக்கொள்ளுங்கள் 🌸"
Life is beautiful,happy,"ஆம், ஒவ்வொரு நாளும் ஒரு பரிசு 🎁"
Feeling motivated,motivation,"அந்த ஆற்றலை வளர்த்துக்கொள்ளுங்கள் 💪"
I am grateful for today,gratitude,"நன்றியுணர்வு உங்கள் மனதை அமைதியாக்கும் 🕊"
Naan achieve panniten,motivation,"அது super! நீ முயற்சி செய்ததின் பலன் இது 🌟"
I feel energetic,motivation,"அந்த ஆற்றலை நல்ல செயல்களில் பயன்படுத்துங்கள் 🔥"
I got a new job,happy,"வாழ்த்துக்கள்! புதிய தொடக்கம் வெற்றி பெறட்டும் 🎉"
Enaku happy a iruku,happy,"அது நன்றாக உள்ளது! சிரிப்பு தொடரட்டும் 😄"
Naan confident ah iruken,motivation,"அந்த நம்பிக்கையை என்றும் காப்பாற்றுங்கள் 💪"
நான் மனதில் துக்கம் கொள்கிறேன்,hopelessness,"ஒவ்வொரு நாளும் புதிய வாய்ப்பு! 💛"
